Saniye	Robot-1 Robot-2 Robot-3 Robot-4 Robot-5 Robot-6 Robot-7 Robot-8 Robot-9
  1)	   1	   1	   1	   0	   1	   0	   1	   1	   1
  2)	   1	   0	   0	   1	   1	   0	   0	   0	   0
  3)	   1	   1	   0	   0	   0	   0	   0	   1	   0
  4)	   0	   0	   1	   0	   0	   0	   1	   1	   1
  5)	   0	   1	   0	   0	   1	   0	   0	   0	   0
  6)	   0	   1	   1	   1	   1	   1	   0	   0	   1
  7)	   0	   0	   0	   0	   0	   1	   1	   0	   0
  8)	   0	   0	   1	   1	   0	   0	   1	   1	   0
  9)	   0	   1	   0	   1	   0	   0	   1	   1	   0
 10)	   0	   0	   0	   0	   0	   0	   1	   1	   0
 11)	   1	   1	   0	   0	   0	   1	   1	   1	   1
 12)	   0	   1	   0	   1	   0	   0	   0	   1	   1
 13)	   0	   0	   0	   1	   0	   0	   1	   1	   0
 14)	   0	   0	   1	   0	   1	   0	   0	   1	   1
 15)	   0	   0	   0	   1	   0	   0	   0	   0	   1
 16)	   1	   1	   1	   1	   1	   0	   1	   1	   0
 17)	   0	   0	   1	   1	   0	   0	   0	   1	   0
 18)	   0	   0	   0	   1	   0	   0	   1	   1	   0
 19)	   0	   1	   0	   1	   0	   0	   0	   0	   0
 20)	   0	   1	   0	   0	   0	   0	   1	   1	   0
 21)	   0	   0	   1	   0	   1	   0	   1	   1	   0
 22)	   0	   1	   1	   0	   1	   0	   1	   1	   0
 23)	   1	   1	   0	   0	   1	   0	   1	   1	   0
 24)	   0	   0	   0	   0	   0	   0	   0	   1	   0
 25)	   1	   0	   0	   0	   1	   0	   0	   0	   1
 26)	   0	   0	   1	   0	   1	   0	   0	   1	   1
 27)	   0	   1	   0	   1	   0	   0	   1	   1	   0
 28)	   0	   0	   1	   1	   0	   0	   1	   1	   1
 29)	   0	   0	   0	   1	   0	   1	   1	   1	   0
 30)	   0	   0	   1	   1	   0	   0	   0	   1	   0
 31)	   1	   0	   1	   1	   0	   0	   1	   1	   0
 32)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 33)	   0	   0	   1	   1	   0	   0	   1	   1	   1
 34)	   1	   0	   1	   0	   0	   1	   0	   1	   1
 35)	   0	   0	   0	   1	   0	   1	   1	   1	   1
 36)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 37)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 38)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 39)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 40)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 41)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 42)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 43)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 44)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 45)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 46)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 47)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 48)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 49)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 50)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 51)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 52)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 53)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 54)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 55)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 56)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 57)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 58)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 59)	   0	   0	   0	   0	   0	   0	   0	   0	   0
 60)	   1	   0	   0	   0	   0	   0	   0	   0	   0
