Saniye	Robot-1 Robot-2 Robot-3 Robot-4 Robot-5 Robot-6 Robot-7 Robot-8 Robot-9
  1)	   0	   0	   1	   1	   0	   0	   0	   1	   0
  2)	   0	   1	   1	   0	   0	   1	   0	   1	   0
  3)	   1	   0	   1	   1	   0	   1	   1	   1	   1
  4)	   0	   0	   1	   1	   1	   0	   1	   0	   0
  5)	   1	   0	   0	   1	   0	   0	   1	   0	   1
  6)	   1	   0	   1	   0	   0	   0	   0	   1	   0
  7)	   0	   1	   0	   1	   0	   0	   0	   0	   0
  8)	   0	   0	   0	   0	   0	   0	   1	   0	   1
  9)	   0	   1	   1	   0	   0	   0	   0	   0	   0
  10)	   1	   1	   0	   0	   0	   0	   0	   0	   0
  11)	   0	   0	   0	   0	   1	   0	   0	   0	   1
  12)	   1	   0	   0	   1	   1	   1	   1	   0	   0
  13)	   0	   0	   1	   0	   0	   0	   0	   0	   1
  14)	   0	   1	   0	   0	   1	   1	   0	   0	   1
  15)	   0	   0	   0	   1	   0	   1	   1	   0	   0
  16)	   0	   0	   1	   0	   0	   0	   0	   0	   0
  17)	   0	   0	   0	   1	   1	   1	   0	   0	   0
  18)	   0	   1	   1	   0	   1	   1	   0	   0	   0
  19)	   0	   1	   0	   0	   0	   1	   1	   0	   0
  20)	   0	   1	   0	   1	   1	   1	   0	   1	   1
  21)	   0	   0	   0	   0	   0	   1	   0	   0	   0
  22)	   0	   1	   0	   0	   1	   0	   0	   0	   0
  23)	   1	   0	   1	   0	   1	   1	   0	   0	   0
  24)	   0	   0	   0	   1	   0	   0	   0	   0	   0
  25)	   1	   0	   0	   0	   0	   0	   0	   0	   0
  26)	   0	   0	   1	   1	   0	   0	   0	   1	   1
  27)	   0	   0	   0	   1	   1	   0	   0	   0	   0
  28)	   1	   0	   0	   1	   1	   0	   0	   1	   0
  29)	   1	   1	   1	   0	   0	   0	   0	   1	   1
  30)	   0	   0	   1	   0	   1	   0	   0	   1	   0
  31)	   0	   0	   1	   0	   0	   1	   0	   0	   0
  32)	   0	   1	   1	   0	   1	   1	   0	   0	   1
  33)	   1	   1	   0	   1	   1	   1	   1	   0	   0
  34)	   0	   0	   0	   1	   1	   0	   1	   0	   1
  35)	   1	   0	   0	   0	   0	   1	   0	   0	   1
  36)	   1	   0	   0	   1	   0	   0	   0	   0	   0
  37)	   0	   0	   0	   1	   0	   0	   1	   0	   1
  38)	   1	   0	   0	   0	   1	   1	   0	   0	   1
  39)	   1	   0	   1	   0	   0	   0	   1	   0	   0
  40)	   0	   0	   0	   0	   1	   0	   0	   0	   0
  41)	   0	   0	   0	   0	   0	   1	   0	   1	   1
  42)	   1	   1	   0	   0	   0	   0	   0	   0	   1
  43)	   1	   0	   1	   0	   1	   0	   1	   0	   0
  44)	   1	   1	   1	   1	   0	   0	   1	   0	   0
  45)	   0	   0	   1	   0	   0	   0	   0	   0	   0
  46)	   0	   1	   0	   0	   1	   0	   1	   0	   0
  47)	   0	   0	   0	   0	   0	   0	   0	   0	   1
  48)	   1	   0	   1	   1	   0	   0	   1	   0	   1
  49)	   0	   1	   0	   0	   0	   1	   0	   0	   0
  50)	   1	   0	   1	   0	   0	   0	   0	   0	   1
  51)	   1	   1	   0	   1	   1	   0	   0	   0	   1
  52)	   1	   0	   0	   1	   0	   0	   1	   1	   0
  53)	   1	   0	   1	   0	   0	   0	   1	   0	   0
  54)	   0	   0	   0	   0	   0	   0	   0	   1	   0
  55)	   1	   0	   1	   1	   0	   0	   1	   0	   0
  56)	   0	   0	   0	   0	   0	   0	   0	   0	   1
  57)	   0	   0	   0	   1	   1	   1	   0	   1	   1
  58)	   1	   0	   1	   0	   0	   0	   0	   0	   1
  59)	   1	   0	   0	   1	   0	   1	   0	   0	   1
  60)	   0	   0	   0	   0	   0	   0	   0	   1	   0
